id;title;netflix;hulu;hbo;amazonprime
323;The Elephant Man;;;;
324;Raging Bull;;;;
325;Tess;;;;
326;Chariots of Fire;;;;
327;Atlantic City;;;;
328;On Golden Pond;823169;;;
329;Raiders of the Lost Ark;;;;
330;Reds;;;;
331;Gandhi;;;;
332;E.T. the Extra-Terrestrial;;;GWi7rygrdPWG9vAEAAAD9;
333;Missing;;;;
334;Tootsie;;;;
335;The Verdict;;;;
336;Terms of Endearment;;;;
337;The Big Chill;;;;
338;The Dresser;;;;
339;The Right Stuff;;;;
340;Tender Mercies;;;;
341;Amadeus;;;;
342;The Killing Fields;;;;
343;A Passage to India;;;;
344;Places in the Heart;;;;
345;A Soldier's Story;;;;
346;Out of Africa;;;;
347;The Color Purple;;;;
348;Kiss of the Spider Woman;;;;
349;Prizzi's Honor;;;;
350;Witness;;;;
351;Platoon;;;;
352;Children of a Lesser God;;;;
353;Hannah and Her Sisters;;;;
354;The Mission;;;;
355;A Room with a View;;;;
356;The Last Emperor;;;;
357;Broadcast News;;;;
358;Fatal Attraction;;;;
359;Hope and Glory;;;;
360;Moonstruck;;;;
361;Rain Man;;764603;;
362;The Accidental Tourist;;;;
363;Dangerous Liaisons;;;;
364;Mississippi Burning;;;;
365;Working Girl;;;;
366;Driving Miss Daisy;;;;
367;Born on the Fourth of July;;;;
368;Dead Poets Society;426589;;;
369;Field of Dreams;;;;
370;My Left Foot;;1281314;;
371;Dances with Wolves;;;;
372;Awakenings;;;;
373;Ghost;;;;
374;The Godfather Part III;60011153;;;
375;Goodfellas;;;;
376;The Silence of the Lambs;;;GWl5hUQ77k8LDfQEAAADK;
377;Beauty and the Beast;;;;
378;Bugsy;;;;
379;JFK;;;;
380;The Prince of Tides;;;;
381;Unforgiven;;;;
382;The Crying Game;70020296;;;
383;A Few Good Men;;;;
384;Howards End;60029366;;;
385;Scent of a Woman;;;;
386;Schindler's List;60036359;;;
387;The Fugitive;;;;
388;In the Name of the Father;;;;
389;The Piano;;;;
390;The Remains of the Day;;;;
391;Forrest Gump;;;;
392;Four Weddings and a Funeral;;;;
393;Pulp Fiction;;;;
394;Quiz Show;885825;;;
395;The Shawshank Redemption;;;;
396;Braveheart;;;;
397;Apollo 13;;1281305;;
398;Babe;;;;
399;The Postman (Il Postino);;;;
400;Sense and Sensibility;;;;
401;The English Patient;;;;
402;Fargo;;;;
403;Jerry Maguire;;;;
404;Secrets & Lies;;;;
405;Shine;;;;
406;Titanic;;;;
407;As Good as It Gets;;;;
408;The Full Monty;;;GWtYjZggvu3STNQEAAAEG;
409;Good Will Hunting;;;;
410;L.A. Confidential;1154856;;;
411;Shakespeare in Love;;;;
412;Elizabeth;;;;
413;Life Is Beautiful;1192333;;;
414;Saving Private Ryan;;;;
415;The Thin Red Line;;;;
416;American Beauty;;;;
417;The Cider House Rules;;;;
418;The Green Mile;;;;
419;The Insider;;;;
420;The Sixth Sense;26797528;;;
421;Gladiator;;;;
422;Chocolat;;;;
423;Crouching Tiger, Hidden Dragon;;;;
424;Erin Brockovich;;;;
425;Traffic;;659832;;
426;A Beautiful Mind;;1281309;;
427;Gosford Park;;;;
428;In the Bedroom;;1255072;;
429;The Lord of the Rings: The Fellowship of the Ring;60004480;1281390;;
430;Moulin Rouge!;;;;
431;Chicago;;;GWqvS2wgL6KaHhAEAAADv;
432;Gangs of New York;60021787;;;
433;The Hours;;;GWg0RBAGnVXSEpAEAAADZ;
434;The Lord of the Rings: The Two Towers;;1281391;;
435;The Pianist;;;;
436;The Lord of the Rings: The Return of the King;;1281393;;
437;Lost in Translation;;;;
438;Master and Commander: The Far Side of the World;;;;
439;Mystic River;;;;
440;Seabiscuit;;;GWqvQyg3nlil0YAEAAACg;
441;Million Dollar Baby;;;;
442;The Aviator;;;;
443;Finding Neverland;;;GWZsLKQFicMJ3wgEAAAAq;
444;Ray;;;;
445;Sideways;;;GWguRBw3BtbC5iAEAAAHz;
446;Crash;;;;
447;Brokeback Mountain;;1281310;;
448;Capote;;;;
449;Good Night, and Good Luck;;;;
450;Munich;;;;
451;The Departed;70044689;;;
452;Babel;;1195602;;
453;Letters from Iwo Jima;;;;
454;Little Miss Sunshine;;;;
455;The Queen;;;;
456;No Country for Old Men;;;;
457;Atonement;70059993;;;
458;Juno;;;;
459;Michael Clayton;70059995;;;
460;There Will Be Blood;;;;
461;Slumdog Millionaire;;;;
462;The Curious Case of Benjamin Button;;1106496;;
463;Frost/Nixon;;;;
464;Milk;70100084;;;
465;The Reader;70109683;;;
466;The Hurt Locker;;;;
467;Avatar;;;GWqvNaArlICl0YAEAAACW;
468;The Blind Side;;;;
469;District 9;;;;
470;An Education;;;;
471;Inglourious Basterds;;;;
472;Precious: Based on the Novel 'Push' by Sapphire;;;;
473;A Serious Man;70114021;;;
474;Up;;;;
475;Up in the Air;70117902;;;
476;The King's Speech;;;;
477;127 Hours;;;;
478;Black Swan;;;;
479;The Fighter;;;;
480;Inception;;;;
481;The Kids Are All Right;;;;
482;The Social Network;;;;
483;Toy Story 3;;;;
484;True Grit;;;;
485;Winter's Bone;;732942;;
486;The Artist;;;;
487;The Descendants;;;;
488;Extremely Loud & Incredibly Close;70213463;;;
489;The Help;;;;
490;Hugo;;;;
491;Midnight in Paris;;;;
492;Moneyball;;;;
493;The Tree of Life;;;;
494;War Horse;;;;
495;Argo;;;;
496;Amour;;;;
497;Beasts of the Southern Wild;;;;
498;Django Unchained;;;;
499;Les Misérables;;;;
500;Life of Pi;;;;
501;Lincoln;70251896;;;
502;Silver Linings Playbook;;;;
503;Zero Dark Thirty;;;;
504;12 Years a Slave;;;;
505;American Hustle;;;;
506;Captain Phillips;;;;
507;Dallas Buyers Club;70275751;;;
508;Gravity;;;;
509;Her;;;;
510;Nebraska;;;;
511;Philomena;;;;
512;The Wolf of Wall Street;;;;
513;Birdman or (The Unexpected Virtue of Ignorance);;;;
514;American Sniper;;;;
515;Boyhood;70301281;;;
516;The Grand Budapest Hotel;;;;
517;The Imitation Game;70295172;;;
518;Selma;;;;
519;The Theory of Everything;;;GVYSiBwZ245ewhCwJADs2;
520;Whiplash;;;;
521;Spotlight;80061341;;;
522;The Big Short;;;;
523;Bridge of Spies;;;;
524;Brooklyn;;;;
525;Mad Max: Fury Road;;;;
526;The Martian;;;;
527;The Revenant;;;;
528;Room;;;;
529;Moonlight;;;;
530;Arrival;;1149070;;
531;Fences;;1165868;;
532;Hacksaw Ridge;;;;
533;Hell or High Water;;;;
534;Hidden Figures;;;;
535;La La Land;;;;
536;Lion;80108447;;;
537;Manchester by the Sea;;;;
538;The Shape of Water;;;;
539;Call Me by Your Name;;;;
540;Darkest Hour;;;;
541;Dunkirk;;;GWqvX7wxdtyl0YAEAAAFv;
542;Get Out;;;GWbhJDwNIacPCwgEAAAG5;
543;Lady Bird;;;;
544;Phantom Thread;;;;
545;The Post;;;;
546;Three Billboards Outside Ebbing, Missouri;;;;
